antecedent,consequent,support,confidence,lift
audio,watches_gifts,0.008264462809917356,1.0,18.15
luggage_accessories,stationery,0.006887052341597796,0.3333333333333333,7.806451612903225
perfumery,health_beauty,0.01652892561983471,0.46153846153846156,4.786813186813187
telephony,computers_accessories,0.008264462809917356,0.2222222222222222,3.1633986928104574
bed_bath_table,home_confort,0.05922865013774105,0.21717171717171718,3.1533333333333333
home_confort,bed_bath_table,0.05922865013774105,0.86,3.1533333333333333
electronics,computers_accessories,0.006887052341597796,0.21739130434782608,3.09462915601023
art,furniture_decor,0.006887052341597796,0.8333333333333334,2.980295566502463
toys,baby,0.026170798898071626,0.38,2.966451612903226
baby,toys,0.026170798898071626,0.20430107526881722,2.966451612903226
construction_tools_construction,garden_tools,0.006887052341597796,0.29411764705882354,2.9250604351329574
home_construction,garden_tools,0.009641873278236915,0.2692307692307692,2.6775553213909378
telephony,cool_stuff,0.008264462809917356,0.2222222222222222,2.4820512820512817
cool_stuff,baby,0.027548209366391185,0.3076923076923077,2.4019851116625315
baby,cool_stuff,0.027548209366391185,0.21505376344086025,2.4019851116625315
construction_tools_lights,furniture_decor,0.015151515151515152,0.6111111111111112,2.1855500821018063
sports_leisure,health_beauty,0.01928374655647383,0.208955223880597,2.1671641791044776
health_beauty,sports_leisure,0.01928374655647383,0.2,2.1671641791044776
home_construction,furniture_decor,0.01790633608815427,0.5,1.788177339901478
furniture_living_room,furniture_decor,0.009641873278236915,0.4666666666666667,1.6689655172413793
bed_bath_table,furniture_decor,0.09641873278236915,0.3535353535353536,1.2643678160919543
furniture_decor,bed_bath_table,0.09641873278236915,0.3448275862068966,1.2643678160919543
office_furniture,bed_bath_table,0.006887052341597796,0.3333333333333333,1.2222222222222223
